id,id_client,transaction_date_hour,transaction_amount,transaction_estatus,transacion_type
TXN001,1,2024-06-01 10:00:00,38940,Pendiente,Pago de Factura
TXN002,2,2024-07-09 12:00:00,75145,Pendiente,Pago de Factura
TXN003,3,2024-06-13 10:00:00,179217,Fallida,Pago de Factura
TXN004,4,2024-07-26 13:00:00,51767,Fallida,Pago de Factura
TXN005,5,2024-07-28 06:00:00,156501,Completada,Pago de Factura
TXN006,6,2024-07-16 21:00:00,32428,Completada,Pago de Factura
TXN007,7,2024-07-26 22:00:00,75301,Pendiente,Pago de Factura
TXN008,8,2024-06-17 16:00:00,16870,Pendiente,Pago de Factura
TXN009,9,2024-07-10 23:00:00,21794,Fallida,Pago de Factura
TXN010,10,2024-06-19 23:00:00,193307,Completada,Pago de Factura
TXN011,11,2024-06-01 06:00:00,159093,Completada,Pago de Factura
TXN012,12,2024-07-12 19:00:00,174518,Pendiente,Pago de Factura
TXN013,13,2024-07-04 12:00:00,110254,Fallida,Pago de Factura
TXN014,14,2024-07-12 04:00:00,162283,Pendiente,Pago de Factura
TXN015,15,2024-06-21 12:00:00,22161,Pendiente,Pago de Factura
TXN016,16,2024-07-08 12:00:00,195775,Pendiente,Pago de Factura
TXN017,17,2024-06-27 03:00:00,20824,Fallida,Pago de Factura
TXN018,18,2024-07-09 05:00:00,191134,Completada,Pago de Factura
TXN019,19,2024-06-16 20:00:00,62979,Completada,Pago de Factura
TXN020,20,2024-06-08 22:00:00,36472,Fallida,Pago de Factura
TXN021,21,2024-06-16 06:00:00,127881,Completada,Pago de Factura
TXN022,22,2024-07-30 03:00:00,26317,Fallida,Pago de Factura
TXN023,23,2024-07-27 01:00:00,147364,Pendiente,Pago de Factura
TXN024,24,2024-06-26 01:00:00,153404,Pendiente,Pago de Factura
TXN025,25,2024-07-07 10:00:00,14210,Completada,Pago de Factura
TXN026,26,2024-06-08 19:00:00,49012,Completada,Pago de Factura
TXN027,27,2024-06-28 06:00:00,40302,Fallida,Pago de Factura
TXN028,28,2024-07-03 01:00:00,27833,Pendiente,Pago de Factura
TXN029,29,2024-07-29 02:00:00,30313,Fallida,Pago de Factura
TXN030,30,2024-07-26 20:00:00,134884,Fallida,Pago de Factura
TXN031,31,2024-07-03 10:00:00,28982,Completada,Pago de Factura
TXN032,32,2024-06-15 17:00:00,158030,Pendiente,Pago de Factura
TXN033,33,2024-06-24 08:00:00,196009,Fallida,Pago de Factura
TXN034,34,2024-06-22 17:00:00,68526,Pendiente,Pago de Factura
TXN035,35,2024-06-23 12:00:00,165287,Completada,Pago de Factura
TXN036,36,2024-06-28 11:00:00,178265,Fallida,Pago de Factura
TXN037,37,2024-07-23 18:00:00,98069,Completada,Pago de Factura
TXN038,38,2024-07-28 00:00:00,153150,Completada,Pago de Factura
TXN039,39,2024-06-05 12:00:00,86902,Pendiente,Pago de Factura
TXN040,40,2024-06-28 04:00:00,96457,Pendiente,Pago de Factura
TXN041,41,2024-06-07 20:00:00,145586,Fallida,Pago de Factura
TXN042,42,2024-07-15 19:00:00,163425,Fallida,Pago de Factura
TXN043,43,2024-07-26 02:00:00,186218,Pendiente,Pago de Factura
TXN044,44,2024-07-12 01:00:00,159000,Fallida,Pago de Factura
TXN045,45,2024-07-21 21:00:00,94554,Pendiente,Pago de Factura
TXN046,46,2024-07-26 11:00:00,152659,Fallida,Pago de Factura
TXN047,47,2024-06-05 17:00:00,165021,Pendiente,Pago de Factura
TXN048,48,2024-06-10 10:00:00,115066,Completada,Pago de Factura
TXN049,49,2024-06-03 20:00:00,161029,Completada,Pago de Factura
TXN050,50,2024-07-29 03:00:00,167924,Completada,Pago de Factura
TXN051,51,2024-07-24 19:00:00,147991,Pendiente,Pago de Factura
TXN052,52,2024-07-26 11:00:00,124048,Completada,Pago de Factura
TXN053,53,2024-07-13 23:00:00,138162,Completada,Pago de Factura
TXN054,54,2024-06-28 00:00:00,161137,Fallida,Pago de Factura
TXN055,55,2024-06-17 03:00:00,35669,Fallida,Pago de Factura
TXN056,56,2024-07-06 07:00:00,67867,Fallida,Pago de Factura
TXN057,57,2024-07-25 20:00:00,58242,Fallida,Pago de Factura
TXN058,58,2024-06-09 20:00:00,113319,Pendiente,Pago de Factura
TXN059,59,2024-07-11 23:00:00,37708,Completada,Pago de Factura
TXN060,60,2024-07-20 16:00:00,54969,Pendiente,Pago de Factura
TXN061,61,2024-07-08 23:00:00,51411,Completada,Pago de Factura
TXN062,62,2024-07-17 05:00:00,45233,Completada,Pago de Factura
TXN063,63,2024-06-10 01:00:00,99926,Fallida,Pago de Factura
TXN064,64,2024-06-20 12:00:00,31572,Completada,Pago de Factura
TXN065,65,2024-06-14 03:00:00,123720,Pendiente,Pago de Factura
TXN066,66,2024-07-29 14:00:00,17171,Fallida,Pago de Factura
TXN067,67,2024-07-23 09:00:00,56259,Fallida,Pago de Factura
TXN068,68,2024-06-20 22:00:00,196548,Fallida,Pago de Factura
TXN069,69,2024-06-20 18:00:00,93635,Completada,Pago de Factura
TXN070,70,2024-07-15 21:00:00,58585,Completada,Pago de Factura
TXN071,71,2024-06-06 18:00:00,86244,Completada,Pago de Factura
TXN072,72,2024-07-18 20:00:00,55572,Fallida,Pago de Factura
TXN073,73,2024-06-21 06:00:00,50713,Fallida,Pago de Factura
TXN074,74,2024-06-29 18:00:00,129480,Completada,Pago de Factura
TXN075,75,2024-07-03 20:00:00,41657,Completada,Pago de Factura
TXN076,76,2024-06-15 11:00:00,126084,Completada,Pago de Factura
TXN077,77,2024-06-04 07:00:00,190936,Fallida,Pago de Factura
TXN078,78,2024-06-21 21:00:00,78561,Fallida,Pago de Factura
TXN079,79,2024-07-23 11:00:00,162844,Completada,Pago de Factura
TXN080,80,2024-06-29 15:00:00,80235,Fallida,Pago de Factura
TXN081,81,2024-06-18 00:00:00,158138,Pendiente,Pago de Factura
TXN082,82,2024-06-06 15:00:00,101593,Pendiente,Pago de Factura
TXN083,83,2024-06-22 03:00:00,103741,Pendiente,Pago de Factura
TXN084,84,2024-07-04 02:00:00,41300,Pendiente,Pago de Factura
TXN085,85,2024-06-19 11:00:00,89956,Completada,Pago de Factura
TXN086,86,2024-07-13 05:00:00,165402,Completada,Pago de Factura
TXN087,87,2024-07-04 09:00:00,106689,Pendiente,Pago de Factura
TXN088,88,2024-06-14 11:00:00,22411,Completada,Pago de Factura
TXN089,89,2024-06-27 05:00:00,11359,Pendiente,Pago de Factura
TXN090,90,2024-06-08 10:00:00,79808,Pendiente,Pago de Factura
TXN091,91,2024-07-05 21:00:00,42648,Pendiente,Pago de Factura
TXN092,92,2024-06-03 05:00:00,101468,Pendiente,Pago de Factura
TXN093,93,2024-06-21 17:00:00,115488,Pendiente,Pago de Factura
TXN094,94,2024-07-26 00:00:00,61920,Completada,Pago de Factura
TXN095,95,2024-07-23 20:00:00,141510,Fallida,Pago de Factura
TXN096,96,2024-07-08 19:00:00,39792,Pendiente,Pago de Factura
TXN097,97,2024-07-09 05:00:00,87689,Completada,Pago de Factura
TXN098,98,2024-07-06 00:00:00,178739,Fallida,Pago de Factura
TXN099,99,2024-07-27 10:00:00,105611,Fallida,Pago de Factura
TXN100,100,2024-07-11 07:00:00,141787,Fallida,Pago de Factura
